Player,Pass Yds,TD,Int,Rec,PPG,Fantasy Points
Aaron Rodgers,4428,40,7,0,23.8,380.02
Matt Ryan,4944,38,7,0,21.7,347.46
Drew Brees,5208,37,15,0,20.8,332.32
David Johnson,0,0,0,80,20.5,327.8
Andrew Luck,4240,31,13,0,20.5,307.7
Kirk Cousins,4917,25,12,0,18.8,300.28
Ezekiel Elliott,0,0,0,32,19.6,293.4
Dak Prescott,3667,23,4,0,17.9,286.88
Matthew Stafford,4327,24,10,0,17.5,279.78
Tyrod Taylor,3023,17,6,0,18.1,270.92
Blake Bortles,3905,23,16,1,16.9,270.1
Derek Carr,3933,28,6,0,17.9,268.22
Russell Wilson,4219,21,11,2,16.8,268.06
Andy Dalton,4206,18,8,0,16.3,260.64
Marcus Mariota,3426,26,9,0,17.3,259.94
Philip Rivers,4386,33,21,0,16.2,258.94
Tom Brady,3554,28,2,0,21.5,258.56
Jameis Winston,4090,28,18,0,16,256.4
Cam Newton,3509,19,14,0,17,254.26
Ben Roethlisberger,3819,29,13,0,18,252.16
LeSean McCoy,0,0,0,51,16.6,248.3
Carson Palmer,4233,26,14,0,16.2,243.12
Joe Flacco,4317,20,15,0,15.2,242.48
Le'Veon Bell,0,0,0,75,20.2,242.4
DeMarco Murray,10,1,0,53,15,240.8
Devonta Freeman,0,0,0,54,14.4,230.1
LeGarrette Blount,0,0,0,7,14.1,225.9
Eli Manning,4027,26,16,0,14,224.18
Alex Smith,3502,15,8,1,14.9,223.78
Sam Bradford,3877,20,5,1,14.7,220.88
Carson Wentz,3782,16,14,1,13.3,212.98
Melvin Gordon,0,0,0,41,16.1,209.6
Mike Evans,0,0,0,96,13,208.1
Jordy Nelson,0,0,0,97,13,207.7
Antonio Brown,0,0,0,106,13.4,201.3
Jordan Howard,0,0,0,29,13.4,201.1
Colin Kaepernick,2241,16,4,0,16.7,200.44
Mark Ingram,0,0,0,46,12.3,196.2
Odell Beckham Jr,0,0,0,101,12.2,195.6
Trevor Siemian,3401,18,10,0,13.7,191.74
Ryan Tannehill,2995,19,12,0,14.6,190.2
Jay Ajayi,0,0,0,27,12.6,188.3
TY Hilton,0,0,0,91,11.4,182.8
Julio Jones,0,0,0,83,12.6,176.9
Frank Gore,0,0,0,38,11,176.3
Latavius Murray,0,0,0,33,12.5,175.2
Kwon Alexander,0,0,0,0,10.9,174.2
Landon Collins,0,0,0,0,10.8,173.5
Davante Adams,0,0,0,75,10.7,171.7
Bobby Wagner,0,0,0,0,10.7,170.6
